id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
739495,Lovely 2 bedroom in Lincoln Square ,3867687,Janet,,Lincoln Square,41.97847,-87.68087,Entire home/apt,75,4,186,3/12/2020,2.26,1,221
753809,LUXURY LOOP w/Balcony GYM & SPA by Millennium Park,3965428,Rob,,Loop,41.88624,-87.61566,Entire home/apt,94,31,13,8/15/2015,0.15,76,365
755701,3 Bedroom Victorian Beauty at Logan Square,3920450,Vas,,Logan Square,41.92997,-87.72061,Entire home/apt,135,5,19,4/3/2019,0.23,4,235
764856,Stunning Downtown Artist Loft (West Loop),2619611,Andrew,,Near West Side,41.88676,-87.64935,Entire home/apt,159,2,235,3/8/2020,2.6,3,154
773127,Comfy Room & Bike in Roscoe Village,4009750,Matt,,North Center,41.94994,-87.682,Private room,84,2,128,6/4/2017,1.41,2,0
789429,Guest bedroom with private bath,1185573,Graz Anton,,Uptown,41.96193,-87.66238,Private room,99,365,0,,,3,365
789867,Beautiful Private Room Near CTA With Free Parking,2782694,Cameron & Emily,,Uptown,41.96437,-87.67398,Private room,20,2,220,3/19/2020,2.59,1,90
790016,Italian style in elegant apartment,1185573,Graz Anton,,Uptown,41.96046,-87.66346,Entire home/apt,299,365,16,8/18/2013,0.18,3,365
790934,04. Pullout sofa bed in common room,2907254,Joe,,West Ridge,42.01653,-87.68788,Shared room,70,1,139,2/3/2020,1.54,18,180
802613,"Your Own Home, 2-Bath with Laundry and Parking!",1500490,Hailey,,Logan Square,41.92285,-87.68323,Entire home/apt,175,1,57,11/2/2019,0.64,2,364
810974,Charming Rogers Park Bedroom Near Loyola Univ,4264577,Sondra,,Rogers Park,42.00184,-87.66951,Private room,50,2,114,3/22/2020,2.1,1,365
818109,"Cool Clean  Uk Village, Awesome location + House",3908,Layne,,West Town,41.89513,-87.674,Entire home/apt,80,7,18,3/18/2020,0.2,3,118
824518,"Cozy, Beautiful & Vintage Drenched",2655877,Bret,,West Town,41.90213,-87.67598,Entire home/apt,95,28,87,4/3/2019,1,1,112
834943,Lincoln Square 2 Bedroom Condo - Welles Park View,4367266,Christopher,,Lincoln Square,41.96238,-87.68378,Entire home/apt,90,2,54,12/1/2019,2.04,1,276
841024,Lux 2bd 2bt Lakeview-Wrigleyville ,1254363,Mark,,Lake View,41.9443,-87.64661,Entire home/apt,239,32,15,3/19/2017,0.18,2,365
863120,Cozy Private Room in a unique Chicago Penthouse,4525503,Nejla Yatkin And Enki,,Lincoln Park,41.9217,-87.65959,Private room,85,2,98,3/29/2020,1.19,2,261
872247,Modern and Spacious,3217184,Priti,,Lower West Side,41.85939,-87.65271,Entire home/apt,125,7,163,9/10/2019,1.92,1,114
873628,"River West, Grand Blue Line Stop",4611613,Russ,,West Town,41.89397,-87.64975,Private room,150,3,88,10/23/2019,1.04,1,173
887038,Lincoln Park Block to Fullerton L 1 Bedrm + Alcove,101521,Red,,Lincoln Park,41.9263,-87.65567,Entire home/apt,150,32,36,5/26/2017,0.43,4,365
903996,Private Entrance/Steam Room Ensuite,4019426,Colleen,,Logan Square,41.92649,-87.7138,Private room,110,2,145,3/19/2020,1.74,1,263
